hba,Afro-Asiatic
hcr,other
hdi,Afro-Asiatic
heb,Afro-Asiatic
heh,Niger-Congo
hei,Wakashan
hem,Niger-Congo
her,Niger-Congo
hhu,Sepik
hia,Cariban
hid,Siouan
hil,Austronesian
hin,Indo-European
hix,Cariban
hks,other
hlb,Indo-European
hli,Salishan
hln,Austro-Asiatic
hlp,Hokan
hlu,Salishan
hma,Sino-Tibetan
hmb,Jivaroan
hmd,Hmong-Mien
hmi,Witotoan
hmo,Hmong-Mien
hmr,Afro-Asiatic
hmu,Witotoan
hna,Afro-Asiatic
hnd,Niger-Congo
hnk,Nakh-Daghestanian
hnn,Austronesian
hno,Haida
ho,Austro-Asiatic
hoa,Austronesian
hok,Sino-Tibetan
hol,Niger-Congo
hop,Uto-Aztecan
hpd,Nadahup
hre,Austro-Asiatic
hrr,Afro-Asiatic
hrs,Afro-Asiatic
hsl,Wakashan
htc,Mayan
hua,Trans-New Guinea
huc,Kxa
hui,Uto-Aztecan
hum,Witotoan
hun,Uralic
hup,Na-Dene
hve,Huavean
hwc,other
hwr,Indo-European
hya,Niger-Congo
hyo,Sino-Tibetan
hzb,Nakh-Daghestanian
iaa,Austronesian
iat,Sepik
iau,Lakes Plain
iba,Austronesian
ibi,Niger-Congo
ibn,Austronesian
ice,Indo-European
ics,other
idn,Austronesian
ido,Niger-Congo
idu,Sino-Tibetan
ifi,Indo-European
ifm,Niger-Congo
ifu,Austronesian
iga,Quechuan
igb,Niger-Congo
ige,Niger-Congo
ign,Arawakan
igs,Eastern Sudanic
iha,Greater West Bomberai
iir,Austronesian
ijo,Ijoid
ik,Eastern Sudanic
ika,Chibchan
ila,Niger-Congo
ill,Algic
ilo,Austronesian
imo,Border
ina,South Bird's Head
ind,Austronesian
ing,Nakh-Daghestanian
inj,Austronesian
inn,Pama-Nyungan
inr,Eskimo-Aleut
ins,Eskimo-Aleut
inu,Eskimo-Aleut
ipi,other
ipk,other
iql,Eskimo-Aleut
iqu,Zaparoan
ird,Indo-European
iri,Indo-European
irm,Indo-European
irq,Afro-Asiatic
irr,Austronesian
irs,other
irx,Iranxe
isa,Skou
ise,Niger-Congo
ish,Indo-European
isi,Tor-Kwerba
isl,other
isn,Austronesian
iso,Niger-Congo
iss,other
ita,Indo-European
itb,Indo-European
ite,Chukotko-Kamchatkan
itg,Indo-European
itn,Indo-European
ito,Itonama
itu,Indo-European
itw,Austronesian
itz,Mayan
iva,Austronesian
iwa,Iwaidjan
iwm,Sepik
ixc,Oto-Manguean
ixi,Mayan
izh,Uralic
izi,Niger-Congo
jab,Austronesian
jad,Sino-Tibetan
jah,Austro-Asiatic
jak,Mayan
jam,Mirndi
jaq,Aymaran
jar,Niger-Congo
jav,Austronesian
jbt,Macro-Ge
jcr,other
jeb,Cahuapanan
jeh,Austro-Asiatic
jel,Mande
jem,Kiowa-Tanoan
jia,Sino-Tibetan
jib,Afro-Asiatic
jin,Sino-Tibetan
jiv,Jivaroan
jlu,Eastern Sudanic
jmm,Arauan
jmo,Central Sudanic
jms,Dogon
jng,Sino-Tibetan
joh,Sino-Tibetan
jom,Kordofanian
jpn,Japanese
jpr,Cariban
jrn,Tupian
jrw,South Andamanese
jug,Sino-Tibetan
juh,Kxa
juk,Niger-Congo
jum,Tupian
jun,Austro-Asiatic
jur,Altaic
jva,Macro-Ge
jwr,Arauan
kaa,Tupian
kab,Northwest Caucasian
kac,Sino-Tibetan
kad,Kadu
kae,Tate
kag,Austronesian
kai,Ramu-Lower Sepik
kaj,Kaure
kak,Trans-New Guinea
kal,Indo-European
kam,Austronesian
kan,Niger-Congo
kao,Austronesian
kap,Austronesian
kaq,Pama-Nyungan
kar,Central Sudanic
kas,Indo-European
kat,Trans-New Guinea
kau,Austronesian
kaw,Tupian
kay,Tangkic
kaz,Altaic
kba,Niger-Congo
kbi,Sino-Tibetan
kbl,Afro-Asiatic
kbo,Keram
kbr,Austronesian
kbt,Indo-European
kbu,Saharan
kbw,Sino-Tibetan
kby,Niger-Congo
kch,Songhay
kda,Dravidian
